2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_042-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_042-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_043-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_043-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_044-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_044-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_045-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_045-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_046-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_046-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_047-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_047-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_048-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_048-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_049-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_049-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_050-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_050-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_051-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_051-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_052-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_052-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_053-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_053-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_054-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_054-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_055-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_055-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_056-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_056-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_057-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_057-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_058-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_058-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_059-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_059-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_060-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_060-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_061-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_061-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_062-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_062-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_063-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_063-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_064-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_064-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_065-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_065-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_066-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_066-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_067-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_067-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_068-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_068-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_069-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_069-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_070-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_070-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_071-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_071-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_072-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_072-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_073-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_073-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_074-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_074-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_075-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_075-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_076-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_076-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_077-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_077-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_078-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_078-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_079-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_079-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_080-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_080-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_081-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_081-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_082-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_082-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_083-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_083-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_084-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_084-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_085-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_085-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_086-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_086-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_087-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_087-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_088-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_088-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_089-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_089-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_090-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_090-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_091-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_091-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_092-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_092-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_093-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_093-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_094-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_094-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_095-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_095-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_096-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_096-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_097-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_097-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_098-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_098-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_099-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_099-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_100-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_100-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_101-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_101-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_102-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_102-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_103-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_103-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_104-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_104-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_105-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_105-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_106-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_106-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_107-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_107-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_108-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_108-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_109-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_109-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_110-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_110-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_111-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_111-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_112-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_112-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_113-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_113-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_114-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_114-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_115-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_115-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_116-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_117-755,niet-publiek,ok,,,ok,ok,klein formaat?,1998-0024_117-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_118-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_118-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_119-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_119-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_120-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_120-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_121-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_121-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_122-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_122-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_123-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_123-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_124-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_124-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_125-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_125-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_126-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_126-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_127-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_127-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_128-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_128-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_129-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_130-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_130-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_131-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_131-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_132-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_132-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_133-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_133-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_134-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_134-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_135-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_135-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_136-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_136-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_137-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_137-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_138-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_138-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_139-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_139-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_140-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_140-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_141-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_141-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_142-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_143-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_143-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_144-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_144-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_145-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_145-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_146-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_146-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_147-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_147-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_148-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_148-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_149-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_149-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_150-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_150-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_151-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_151-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_152-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_152-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_153-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_153-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_154-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_154-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_155-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_156-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_156-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_157-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_157-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_158-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_158-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_159-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_159-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_160-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_160-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_161-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_161-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_162-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_162-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_163-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_163-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_164-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_164-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_165-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_165-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_166-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_166-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_167-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_167-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_168-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_168-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_169-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_169-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_170-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_170-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_171-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_171-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_172-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_172-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_173-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_173-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_174-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_174-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_175-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_175-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_176-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_176-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_177-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_177-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_178-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_178-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_179-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_179-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_180-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_180-755$1,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_181-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_182-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_182-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_183-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_183-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_184-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_184-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_185-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_185-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_186-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_186-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_187-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_187-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_188-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_188-755,,,,ok 2023-07-07,nvt,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_189-755,niet-publiek,ok,,,foto maken,x,ok,,,,,,,,
Marie,,"jaren 1990;Stockmans, Pieter",enkelvoudig object,1998-0024_190-755,niet-publiek,ok,,,ok,ok,ok,1998-0024_190-755,,,,ok 2023-07-07,nvt,,
