2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2008-0157,niet-publiek,ok,,,,ok,ok,2008-0157,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2011-0034,niet-publiek,ok,,,,ok,ok,2011-0034$1,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2011-0035,niet-publiek,ok,,,,ok,ok,2011-0035,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,3958,niet-publiek,beschrijving nakijken,,,,ok,ok,3958,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,4673,niet-publiek,ok,,,,ok,ok,4673$2,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,4674,niet-publiek,ok,,,,ok,ok,4674$2,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,/,DMG_T_00294_ORANJE,niet-publiek,/,,,,,/,,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe/Eva,,Italiaans postmodernisme,ensemble,1985-0061_0-2,publiek,ok,,,"foto nemen (achtergrond)?? (voor mij eigenlijk ok, maar weet niet welke regel we volgen)",ok,ok,1985-0061_0-2$1,,,,ok 2022-05-31,ok 2022-05-31,,JA
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1985-0061_1-2,niet-publiek,ok,,,"foto nemen (achtergrond)?? (voor mij eigenlijk ok, maar weet niet welke regel we volgen)",ok,ok,1985-0061_1-2,,,,ok 2023-07-07,nvt,,JA
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1985-0061_2-2,niet-publiek,ok,,,ok,ok,ok,1985-0061_2-2,,,,ok 2023-07-07,nvt,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1987-0012,publiek,ok,,,,ok,ok,1987-0012$1,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1987-0013,publiek,ok,,,ok,ok,ok,1987-0013,,,,ok 2022-05-09,ok 2022-05-09,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1987-0015,publiek,ok,,,fotoshoppen; ok,ok,ok,1987-0015$1,,,,ok 2024-06-07,ok 2024-06-07,,
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1987-0017,publiek,ok,,,ok,ok,ok,1987-0017,,,,ok 2022-11-07,ok 2022-11-07,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0056,publiek,ok,,,photoshop; ok,ok,nee,1990-0056$4,,,,,,,
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1990-0057,publiek,ok,,nieuwe foto na restauratie,photoshop,x,ok,1990-0057,,,,ok 2022-05-09,ok 2022-05-09,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0058,publiek,ok,,,ok,ok,ok,1990-0058,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,ensemble,1990-0060_0-5,publiek,ok,,,photoshoppen; ok maar net te klein,ok,ok,1990-0060_0-5$1,,,,ok 2022-11-07,ok 2022-11-07,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0060_1-5,niet-publiek,ok,,,,ok,ok,1990-0060_1-5$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0060_2-5,niet-publiek,ok,,,,ok,ok,1990-0060_2-5$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0060_3-5,niet-publiek,ok,,,,ok,ok,1990-0060_3-5$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0060_4-5,niet-publiek,ok,,,,ok,ok,1990-0060_4-5$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0060_5-5,niet-publiek,ok,,,,ok,ok,1990-0060_5-5$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,set,1990-0061_0-2,publiek,ok,,,,ok,ok,1990-0061_0-2,,,,ok 2022-09-22,ok 2022-09-22,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0061_1-2,niet-publiek,ok,,,,ok,ok,1990-0061_1-2,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0061_2-2,niet-publiek,ok,,,,ok,ok,1990-0061_2-2$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,ensemble,1990-0062_0-4,publiek,ok,,,,ok,ok,1990-0062_0-4,,,,ok 2022-09-22,ok 2022-09-22,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0062_1-4,niet-publiek,ok,,,,ok,ok,1990-0062_1-4,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0062_2-4,niet-publiek,ok,,,,ok,ok,1990-0062_2-4,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0062_3-4,niet-publiek,ok,,,,ok,ok,1990-0062_3-4$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0062_4-4,niet-publiek,ok,,,,ok,ok,1990-0062_4-4,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0063,publiek,ok,,,,ok,ok,1990-0063,,,,ok 2022-09-22,ok 2022-09-22,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0070,publiek,ok,,,,ok,ok,1990-0070,,,,ok 2024-06-07,ok 2024-06-07,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0071,publiek,ok,,,,ok,ok,1990-0071,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0073,publiek,ok,,,,ok,ok,1990-0073$2,,,,ok 2022-05-09,ok 2022-05-09,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0074,publiek,ok,,,,ok,ok,1990-0074$2,,,,ok 2022-05-09,ok 2022-05-09,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0075,publiek,ok,,,,ok,ok,1990-0075$2,,,,ok 2022-05-09,ok 2022-05-09,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0076,publiek,ok,,,,ok,ok,1990-0076$2,,,,ok 2022-05-09,ok 2022-05-09,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1995-0032,publiek,ok,,,photoshoppen; ok,ok,ok,1995-0032$2,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,set,1997-0037_0-2,publiek,ok,,,,ok,ok,1997-0037_0-2,,,,ok 2022-09-22,ok 2022-09-22,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1997-0037_1-2,niet-publiek,ok,,,,ok,ok,1997-0037_1-2,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1997-0037_2-2,niet-publiek,ok,,,,ok,ok,1997-0037_2-2,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2626,publiek,ok,,,,ok,ok,2626,,,,ok 2022-05-09,ok 2022-05-09,,
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1988-0028,publiek,ok,,,ok,ok,ok,1988-0028,,,,ok 2022-04-08,ok 2022-04-08,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1988-0094,publiek,ok,,,,ok,ok,1988-0094$2,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1989-0070,publiek,ok,,,foto nemen,x,nee,,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1991-0079,publiek,ok,,,,ok,ok,1991-0079$1,,,,ok 2022-11-07,ok 2022-11-07,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1992-0188,publiek,ok,,,,ok,ok,1992-0188$1,,,,ok 2022-10-13,ok 2022-10-13,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1997-0025,publiek,ok,,,,ok,ok,1997-0025,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1997-0045,publiek,ok,,,ok,ok,ok,1997-0045,,,,ok 2022-04-08,ok 2022-04-08,,JA
Ianthe/Eva,,Italiaans postmodernisme,enkelvoudig object,1997-0046,publiek,ok,,,ok,ok,ok,1997-0046,,,,ok 2022-04-08,ok 2022-04-08,,JA
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1999-0080,publiek,ok (zonder beschrijving),,,nieuwe foto; ok,ok,ok,1999-0080$3;1999-0080$4,,,,ok 2025-01-30,ok 2025-01-30,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0127,publiek,ok,,,,ok,ok,2001-0127$7.tif,,,,ok 2022-09-13,ok 2022-09-13,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0128,publiek,ok,,,,ok,ok,2001-0128$7.tif,,,,ok 2022-09-13,ok 2022-09-13,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0129,publiek,ok,,,,ok,ok,2001-0129,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,ensemble,2001-0130_0-3,publiek,ok,,,,ok,ok,2001-0130_0-3,,,,ok 2022-11-07,ok 2022-11-07,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0130_1-3,niet-publiek,ok,,,,ok,ok,2001-0130_1-3,,,,ok 2023-07-07,nvt,,
